Timestamp,BTC-USD Open,BTC-USD High,BTC-USD Low,BTC-USD Close,BTC-USD Adj Close,BTC-USD Volume,ETH-USD Open,ETH-USD High,ETH-USD Low,ETH-USD Close,ETH-USD Adj Close,ETH-USD Volume,LTC-USD Open,LTC-USD High,LTC-USD Low,LTC-USD Close,LTC-USD Adj Close,LTC-USD Volume
2022-01-01,46311.74609375,47827.3125,46288.484375,47686.8125,47686.8125,24582667004.0,3683.047119140625,3769.91796875,3682.28662109375,3769.697021484375,3769.697021484375,9776191466.0,146.536865234375,150.7519989013672,146.45693969726562,150.6974334716797,150.6974334716797,691648227.0
2022-01-02,47680.92578125,47881.40625,46856.9375,47345.21875,47345.21875,27951569547.0,3769.29833984375,3836.161865234375,3727.357421875,3829.56494140625,3829.56494140625,9881471548.0,150.685302734375,152.93603515625,148.66310119628906,151.2554931640625,151.2554931640625,680239631.0
2022-01-03,47343.54296875,47510.7265625,45835.96484375,46458.1171875,46458.1171875,33071628362.0,3829.53564453125,3836.19873046875,3698.047607421875,3761.38037109375,3761.38037109375,12080777893.0,151.26339721679688,151.26339721679688,146.6741943359375,148.4615936279297,148.4615936279297,755658603.0
2022-01-04,46458.8515625,47406.546875,45752.46484375,45897.57421875,45897.57421875,42494677905.0,3761.361572265625,3876.78515625,3723.349853515625,3794.056640625,3794.056640625,14030925983.0,148.4677734375,151.33206176757812,146.5630645751953,146.81228637695312,146.81228637695312,789511706.0
2022-01-05,45899.359375,46929.046875,42798.22265625,43569.00390625,43569.00390625,36851084859.0,3794.26904296875,3842.059814453125,3456.745361328125,3550.386962890625,3550.386962890625,18061338502.0,146.81129455566406,149.54522705078125,132.1007537841797,136.089111328125,136.089111328125,1304198400.0
2022-01-06,43565.51171875,43748.71875,42645.5390625,43160.9296875,43160.9296875,30208048289.0,3549.708984375,3549.708984375,3335.376708984375,3418.408203125,3418.408203125,24293791313.0,136.0773162841797,137.7505340576172,133.3151397705078,136.5037841796875,136.5037841796875,1136595284.0
2022-01-07,43153.5703125,43153.5703125,41077.4453125,41557.90234375,41557.90234375,84196607520.0,3417.837890625,3420.4619140625,3117.38134765625,3193.21044921875,3193.21044921875,24494179209.0,136.4918670654297,136.52577209472656,128.08090209960938,131.4884490966797,131.4884490966797,1364180297.0
2022-01-08,41561.46484375,42228.94140625,40672.27734375,41733.94140625,41733.94140625,28066355845.0,3193.50244140625,3240.304443359375,3020.880859375,3091.97265625,3091.97265625,16037732700.0,131.49484252929688,134.629150390625,126.74758911132812,130.13748168945312,130.13748168945312,1002118315.0
2022-01-09,41734.7265625,42663.94921875,41338.16015625,41911.6015625,41911.6015625,21294384372.0,3091.6962890625,3206.790771484375,3075.911376953125,3157.75146484375,3157.75146484375,12334683863.0,130.13734436035156,132.4771728515625,128.80877685546875,131.29832458496094,131.29832458496094,710682825.0
2022-01-10,41910.23046875,42199.484375,39796.5703125,41821.26171875,41821.26171875,32104232331.0,3157.570556640625,3177.21337890625,2947.68359375,3083.097900390625,3083.097900390625,19535744145.0,131.3038787841797,131.51531982421875,122.6286849975586,126.83382415771484,126.83382415771484,1097888042.0
